"Competition Name","Competition URL","Organizer","Status","Event Type","Posted Date","Impressions","tags"
"ASME-DTU Research and Development Department's Recruitment Test","https://unstop.com/quiz/asme-dtu-research-and-development-departments-recruitment-test-dtu-new-delhi-1555523","Delhi Technological University (DTU), New Delhi","Expired","Quiz","09/11/2025","7524","Online Quiz Everyone can apply"
"Call For Articles: Finmagazine","https://unstop.com/competitions/call-for-articles-finmagazine-dtu-new-delhi-1572638","Delhi Technological University (DTU), New Delhi","Expired","Competition","10/11/2025","36006","Everyone can apply Article Writing"
"Data Analytics Quiz by SME-DTU","https://unstop.com/quiz/data-analytics-quiz-delhi-technological-university-dtu-new-delhi-255477","Delhi Technological University (DTU), New Delhi","Expired","Quiz","01/18/2022","128000","Business Engineering Others Data Science"
"Nayan: The Annual Short Filmmaking Competition of DTU","https://unstop.com/events/nayan-dtu-new-delhi-1391819","Delhi Technological University (DTU), New Delhi","Expired","Cultural Event","02/06/2025","12785","Everyone can apply Dramatics Writing Photography"
"Data & Beyond: A Data Analytics Competition by SME-DTU","https://unstop.com/competitions/data-beyond-a-data-analytics-competition-by-sme-dtu-delhi-technological-university-dtu-new-delhi-230264","Delhi Technological University (DTU), New Delhi","Expired","Competition","10/23/2021","34968","Engineering Business Others Data Analytics"
"L'Oréal Brandstorm 2026","https://unstop.com/competitions/loreal-brandstorm-2026-loreal-1591401","L'Oréal","Live","Case Competition","11/08/2025","44522","Case Study Strategy Everyone can apply"
"Kickstart to Machine Learning by Round Table DTU and #Define BPIT","https://unstop.com/workshops-webinars/kickstart-to-machine-learning-by-round-table-dtu-and-define-bpit-delhi-technological-university-dtu-new-delhi-217872","Bhagwan Parshuram Institute of Technology (BPIT), Delhi","Expired","Workshop","10/01/2021","13350","Engineering Others Data Science Workshops"
"Panenka 2.0","https://unstop.com/quiz/panenka-20-delhi-technological-university-dtu-new-delhi-277166","Delhi Technological University (DTU), New Delhi","Registrations Closed","Quiz","03/24/2022","61618","Others Sports College Festival On Campus Quiz"
"Sahaj: Understanding Stress & Finding Balance","https://unstop.com/workshops-webinars/sahaj-understanding-stress-finding-balance-dtu-new-delhi-1587065","Delhi Technological University (DTU), New Delhi","Expired","Workshop","11/05/2025","15844","Conference Everyone can apply"
"TechWeek 2K25","https://unstop.com/workshops-webinars/techweek-2k25-dtu-new-delhi-1578416","Delhi Technological University (DTU), New Delhi","Expired","Workshop","10/25/2025","14914","Workshops Everyone can apply"
"Chitrakatha – Intercollege Reel Making Competition","https://unstop.com/events/chitrakatha-intercollege-reel-making-competition-dtu-new-delhi-1574743","Delhi Technological University (DTU), New Delhi","Expired","Cultural Event","10/16/2025","19981","Dramatics Undergraduate Postgraduate Engineering Students"
"Unstop Career League 2025","https://unstop.com/college-fests/unstop-career-league-2025-unstop-415135","Unstop","Live","Competition","","2",""
"Dream To Deal","https://unstop.com/events/dream-to-dare-dtu-new-delhi-1576879","Delhi Technological University (DTU), New Delhi","Expired","Competition","10/19/2025","33761","Business Plan Everyone can apply"
"Cogniwars'25","https://unstop.com/quiz/cogniwars-dtu-new-delhi-1576717","Delhi Technological University (DTU), New Delhi","Expired","Quiz","10/19/2025","20852","Online Quiz Undergraduate Postgraduate Engineering Students"
"Hackathon on Lightweight and Resource-Efficient HPC and AI models for Social Welfare","https://unstop.com/hackathons/hackathon-on-lightweight-and-resource-efficient-hpc-and-ai-models-for-social-welfare-dtu-new-delhi-1561109","Delhi Technological University (DTU), New Delhi","Expired","Hackathon","09/26/2025","56676","Coding Challenge Hackathon Undergraduate Engineering Students"
"Dream Forge 2.0","https://unstop.com/competitions/dream-forge-20-ieee-day-2025-dtu-new-delhi-1565365","Delhi Technological University (DTU), New Delhi","Expired","Case Competition","09/27/2025","33913","Case Study Business Plan College Festival Undergraduate"
"Speedathon","https://unstop.com/hackathons/speedathon-ieee-day-2025-dtu-new-delhi-1565425","Delhi Technological University (DTU), New Delhi","Expired","Hackathon","09/28/2025","57538","Undergraduate Postgraduate Engineering Students Coding Challenge"
"Reliance T.U.P XI","https://unstop.com/competitions/reliance-tup-xi-reliance-industries-limited-ril-1566159","Reliance Industries Limited (RIL)","Live","Competition","10/15/2025","68510000","Business Plan Postgraduate"
"Tinkercase","https://unstop.com/hackathons/tinkercase-dtu-new-delhi-1565386","Delhi Technological University (DTU), New Delhi","Expired","Hackathon","09/27/2025","45836","Hackathon Robotics Presentation Undergraduate"
